t,recall,found,lsh_detected
0.05,0.00042903552813275755,215,501124
0.05,0.00043883007900936104,220,501333
0.05,0.00043412803989198575,218,502156
0.05,0.0004344703986869339,216,497157
0.05,0.0004293360939242924,214,498444
0.1,0.00043524043524043526,217,498575
0.1,0.00042826979004820524,215,502020
0.1,0.00042869932624417517,215,501517
0.1,0.00042962311613274954,214,498111
0.1,0.0004370472370232892,219,501090
0.15000000000000002,0.00043534928718272576,162,372115
0.15000000000000002,0.0004101709155742558,124,302313
0.15000000000000002,0.0004557280399656185,158,346698
0.15000000000000002,0.00040477067211607925,144,355757
0.15000000000000002,0.00043763154995995823,147,335899
0.2,0.00042473508311786554,137,322554
0.2,0.0004164441392640065,131,314568
0.2,0.00045598232019470166,163,357470
0.2,0.0004755535740823302,176,370095
0.2,0.0004760238011900595,136,285700
0.25,0.000437749452813184,170,388350
0.25,0.00047338573853005677,147,310529
0.25,0.0004339823897266434,166,382504
0.25,0.00040079774783729534,125,311878
0.25,0.0004157389528921573,135,324723
0.3,0.0003554472287810699,42,118161
0.3,0.00046913830704468223,74,157736
0.3,0.00044993947997135596,71,157799
0.3,0.0004647371187822364,61,131257
0.3,0.0005153239228685437,74,143599
0.35000000000000003,0.00046853647426303117,72,153670
0.35000000000000003,0.0003793836596296267,48,126521
0.35000000000000003,0.0003733371758680089,57,152677
0.35000000000000003,0.00048632218844984804,60,123375
0.35000000000000003,0.00033228387011023517,40,120379
0.4,0.00042817539225220255,118,275588
0.4,0.0005244100387064553,21,40045
0.4,0.0003596614044777845,28,77851
0.4,0.0003895028969277959,64,164312
0.4,0.0004029510670876895,55,136493
0.45,0.00037148357029482285,22,59222
0.45,0.0003764893475661071,17,45154
0.45,0.0005736720388662806,32,55781
0.45,0.000514517982403485,30,58307
0.45,0.00045686255650668464,38,83176
0.5,0.0004034402449982579,22,54531
0.5,0.00036919290329197004,18,48755
0.5,0.0004244682356270339,45,106015
0.5,0.0003180661577608143,7,22008
0.5,0.0004367705003345476,94,215216
0.55,0.00047058823529411766,8,17000
0.55,0.0004306426144791617,27,62697
0.55,0.000437402799377916,9,20576
0.55,0.0005646804645110604,23,40731
0.55,0.00018742385905725798,4,21342
0.6000000000000001,0.000296340198547933,2,6749
0.6000000000000001,0.0,0,7720
0.6000000000000001,0.0003525057282180835,6,17021
0.6000000000000001,0.00042576205654580395,37,86903
0.6000000000000001,0.00026888948642108095,3,11157
0.6500000000000001,0.0004514672686230248,3,6645
0.6500000000000001,0.0004269854824935952,3,7026
0.6500000000000001,0.00034972816583473754,11,31453
0.6500000000000001,0.0007279786459597186,6,8242
0.6500000000000001,0.0004297079881451149,136,316494
0.7000000000000001,0.0005125576627370579,1,1951
0.7000000000000001,0.0005046681806712087,2,3963
0.7000000000000001,0.0005459309943223177,30,54952
0.7000000000000001,0.0006651147322913202,2,3007
0.7000000000000001,0.0004580852038479157,1,2183
0.7500000000000001,0.0,0,912
0.7500000000000001,0.0010366275051831375,3,2894
0.7500000000000001,0.0006333122229259025,1,1579
0.7500000000000001,0.000687825488847401,7,10177
0.7500000000000001,0.0,0,3830
0.8,0.0015455950540958269,1,647
0.8,0.0,0,747
0.8,0.0,0,835
0.8,0.0,0,745
0.8,0.002758620689655172,2,725
0.8500000000000001,0.0,0,448
0.8500000000000001,0.0004928941099153865,30,60865
0.8500000000000001,0.00029803298231670974,3,10066
0.8500000000000001,0.0,0,507
0.8500000000000001,0.0005255285604559971,39,74211
0.9000000000000001,0.00016590167560692363,3,18083
0.9000000000000001,0.0004888182818037394,8,16366
0.9000000000000001,0.0,0,1026
0.9000000000000001,0.0008976660682226212,6,6684
0.9000000000000001,0.0,0,1371
0.9500000000000001,0.0003956087429532193,4,10111
0.9500000000000001,0.0,0,327
0.9500000000000001,0.0,0,301
0.9500000000000001,0.00041752969782311476,51,122147
0.9500000000000001,0.0005385029617662897,1,1857
1.0,0.0,0,356
1.0,0.0,0,309
1.0,0.0,0,337
1.0,0.0,0,311
1.0,0.0,0,316
